------ラジオ------
https://simul.drdi.st.nhk/live/3/joined/master.m3u8　「Radio,日本/NHK AM」
https://www.youtube.com/watch?v=eej83iBb1r4   「ピンク・レディー ,S・O・S (1978) 」　#e9a2ec　地平線#9fd7e8
https://www.youtube.com/watch?v=CIVzybd6Eu8   「岩崎宏美,シンデレラハネムーン (1978)」　#4e546a　地平線#8e5f82　星
https://www.youtube.com/watch?v=2T7TXVtGGFc   「Yellow Magic Orchestra,♪Tong Poo (1978)」　#ce8ec1　地平線#e1bdcf　雲1
https://www.youtube.com/watch?v=k6q51JTwwds   「鏑木創,♪江戸川乱歩の美女シリーズのテーマ (1978)」　#48d18c　地平線#9de19a
https://www.youtube.com/watch?v=4GHawDuY1ZE   「堀内孝雄,君の瞳は10000ボルト (1978)」　#9f70d6　地平線#cdbaed　雲1
https://www.youtube.com/watch?v=YixAD9GIAuY   「大貫妙子,4:00AM (1978)」　#6db25b　地平線#accd7e　雲1
https://www.youtube.com/watch?v=-BfKP9ENkIw   「海援隊,思えば遠くへ来たもんだ (1978)」　#4ad792　地平線#9adf96　雲1
https://www.youtube.com/watch?v=Ht2EjtUgbRU   「沢田研二,カサブランカ・ダンディ (1979)」　#8f431f　地平線#91b65a　星
https://www.youtube.com/watch?v=nuU2YHtxMik   「松原みき,真夜中のドア〜stay with me (1979)」　#080808　地平線#cc9730　星　単色
https://www.youtube.com/watch?v=yICQ4uOw4mc   「チューリップ,虹とスニーカーの頃 (1979)」　#b5664c　地平線#93685f
https://www.youtube.com/watch?v=QzMk7a_bi5w   「水谷豊,カリフォルニア・コネクション (1979)」　#839eca　地平線#abbddf　雲1
https://www.youtube.com/watch?v=5raK_iAFrn8   「久保田早紀,異邦人 (1979)」　#cb84bf　地平線#e5c3d5　雲1
https://www.youtube.com/watch?v=3n9zr4iDWB8   「松坂慶子,愛の水中花 (1979)」　#cd8fc0　地平線#e2bccf　雲1
https://www.youtube.com/watch?v=uTqUiqszKAg   「ゴダイゴ,銀河鉄道999 (1979)」　#090909　地平線#ea9ee2　星
https://www.youtube.com/watch?v=a74vjYOKFiw   「堺正章,この道の果てまでも (1979)」　#739a4b　地平線#9dbf6f　雲1
https://www.youtube.com/watch?v=8siTvDAUoWw   「前野曜子,蘇える金狼のテーマ(1979)」　#8c9b28　地平線#a8cd7e　雲1
https://www.youtube.com/watch?v=UIcBM6nqnIY   「布施明,君は薔薇より美しい(1979)」　#42d087　地平線#a4dfa2
https://www.youtube.com/watch?v=WUeJ0p-16_c   「アリス,冬の稲妻 (1979)」　#75a2de　地平線#adcbec　雲1
https://www.youtube.com/watch?v=sOq44B6njQE   「尾崎亜美,オリビアを聴きながら (1980)」　#a45ed7　地平線#aed95a　雲1
https://www.youtube.com/watch?v=eKOM2wXTyRw   「山下達郎,RIDE ON TIME (1980)」　#42d887　地平線#97d9bc
https://www.youtube.com/watch?v=bULzrmJ0FMU   「岡田奈々,静舞 (1980)」　#72d636　地平線#cbba64
https://www.youtube.com/watch?v=hUfTDQru5yI   「沢田研二,TOKIO (1980)」　#626476　地平線#8a879d　星
https://www.youtube.com/watch?v=c1OWW4Svato   「海援隊,人として (1980)」　#5bc0e5　地平線#98d0e6　雲1
https://www.youtube.com/watch?v=adu4_yzQjes   「もんた＆ブラザーズ,ダンシング・オールナイト (1980)」　#c07d33　地平線#d3a55d
https://www.youtube.com/watch?v=817-MDcen9U   「森田童子,たとえば僕が死んだら (1980)」　#62b97e　地平線#88d0aa　雲1
https://www.youtube.com/watch?v=lqOVap4FzFs   「松山千春,長い夜(1981)」　#0b0b0b　地平線#8630cf　星
https://www.youtube.com/watch?v=n7XYTaKVcSg   「佐野元春,サムデイ (1981)」　#76e0bb　地平線#e9c5d7
https://www.youtube.com/watch?v=9YYsG4D6JAE   「Journey,♪Captured (1981)」　#c36e42　地平線#d69964
https://www.youtube.com/watch?v=tGzS70EnrEE   「浜田省吾,悲しみは雪のように (1981)」　#4d73d7　地平線#bbc8e6　雲1
https://www.youtube.com/watch?v=g0p_jI6T2WQ   「泰葉,フライディ・チャイナタウン (1981)」　#739ddd　地平線#afccec　雲1
https://www.youtube.com/watch?v=BKfKW6OiL4E   「南佳孝,スローなブギにしてくれ(I want you) (1981)」　#93e9cf　地平線#e68889
https://www.youtube.com/watch?v=hhNi01ByA5Q   「矢野顕子,春咲小紅 (1981)」　#c72bd4　地平線#d9a8df　雲1
https://www.youtube.com/watch?v=ZX3q5YyIxyk   「堀江淳,メモリーグラス (1981)」　#a65bdd　地平線#a2803d
https://www.youtube.com/watch?v=og3-Z3ysjfc   「石川ひとみ,まちぶせ (1981)」　#c47540　地平線#dab48f　雲1
https://www.youtube.com/watch?v=WojtxUZvuKA   「松田聖子,夏の扉 (1981)」　#54cbd8　地平線#98e0d7
https://www.youtube.com/watch?v=7joUwfRpJbE   「松本伊代,センチメンタル・ジャーニー (1981)」　#c6cb31　地平線#adc582
https://www.youtube.com/watch?v=L-hyY-1luHs   「大滝詠一,君は天然色 (1981)」　#b475d4　地平線#d6a0de
https://www.youtube.com/watch?v=ekcUo8s7M1g   「前野曜子,コブラ (1982)」　#7d2426　地平線#c43bc2　雨　星　雲2
https://www.youtube.com/watch?v=2ljSD1rZzUE   「稲垣潤一,ドラマティック・レイン (1982)」　#7e277f　地平線#7e277f　雨　単色　雲2
https://www.youtube.com/watch?v=HaqiC3y-VAM   「岩崎宏美,聖母たちのララバイ (1982)」　#44d687　地平線#9ddf9c
https://www.youtube.com/watch?v=miAawzeIzgE   「Vangelis,♪Blade Runner (End Titles) (1982)」　#561858　地平線#94a7b3　雨　星　雲2
https://www.youtube.com/watch?v=HAh_Z4Uq0UM   「中森明菜,スローモーション (1982)」　#b7752e　地平線#daad63　雲1
https://www.youtube.com/watch?v=i5U93W19Ays   「中森明菜,セカンド・ラブ (1982)」　#829bc9　地平線#aebede　雲1
https://www.youtube.com/watch?v=OPoSXc_ODdg   「井上陽水,リバーサイド ホテル (1982)」　#7a7be3　地平線#7ec0df　雲1　音量-20%
https://www.youtube.com/watch?v=RwEh816XjUk   「梅沢富美男,夢芝居 (1982)」　#7b47c9　地平線#d976a0　星
https://www.youtube.com/watch?v=3FyizIIXxJ0   「チョー・ヨンピル,釜山港へ帰れ (1982)」　#cba136　地平線#9d7f3c
https://www.youtube.com/watch?v=B5Y33pYdGvc   「森進一,森のリヴェイラ (1982)」　#44d08a　地平線#a2dfa0
https://www.youtube.com/watch?v=f7nGMOIApdo   「中村雅俊,恋人も濡れる街角 (1983)」　#5f9dc7　地平線#7dcad0　雲1
https://www.youtube.com/watch?v=e-dsvxgKY50   「薬師丸ひろ子,探偵物語 (1983)」　#b78aae　地平線#d382a6　雲2
https://www.youtube.com/watch?v=OKizrDxp54c   「村下孝蔵,初恋 (1983)」　#cd9841　地平線#d4be65
https://www.youtube.com/watch?v=3poKT6YOmkM   「村下孝蔵,踊り子 (1983)」　#7e52c6　地平線#d7719b　星
https://www.youtube.com/watch?v=T9xhbcNT8eU   「アンルイス,あゝ無情 (1983)」　#4bb5ce　地平線#d170b5
https://www.youtube.com/watch?v=_1nuZWeubsM   「EPO,う、ふ、ふ、ふ、 (1983)」　#cdcd2a　地平線#dbb4df
https://www.youtube.com/watch?v=DUmG1SlR8fs   「Yellow Magic Orchestra,君に、胸キュン。 (1983)」　#7546c1　地平線#d87fa3　星
https://www.youtube.com/watch?v=WTFtASx0rUQ   「原田知世,時をかける少女 (1983)」　#b556d7　地平線#78dfc9　雲1
https://www.youtube.com/watch?v=QpL-ED9cQ5I   「原田知世,守ってあげたい (1983)」　#4cd58d　地平線#9bdf96
https://www.youtube.com/watch?v=z68BtO2WbGw   「原田知世,悲しいくらいほんとの話 (1983)」　#4f5670　地平線#8b5c7e　星
https://www.youtube.com/watch?v=nnL_iEHs-gw   「原田知世,地下鉄のザジ (1983)」　#cb9e34　地平線#a28239
https://www.youtube.com/watch?v=5GxpyQvxllA   「尾崎豊,OH MY LITTLE GIRL (1983)」　#bd673b　地平線#d99a6b　雲1
https://www.youtube.com/watch?v=6q6GtPdVHL4   「杏里,悲しみがとまらない (1983)」　#739d48　地平線#a0bf6f　雲1
https://www.youtube.com/watch?v=2-PVyOHIZD0   「渡辺典子,晴れときどき殺人 (1984)」　#cb7c2e　地平線#d6a256
https://www.youtube.com/watch?v=gjlUnc4ITaw   「稲垣潤一,あの頃のまま (1984)」　#d2a84a　地平線#d6daee　雲1
https://www.youtube.com/watch?v=rhzCVTihtcI   「桜庭伸幸,U.W.F.プロレス・メインテーマ (1984)」　#cea434　地平線#a37e36
https://www.youtube.com/watch?v=dvbjQoX9p6o   「チェッカーズ,ギザギザハートの子守唄 (1984)」　#64ba82　地平線#88ceab　雲1
https://www.youtube.com/watch?v=zEaL3JlIH3Y   「クリスタルキング,愛をとりもどせ!! (1984)」　#8fa6d7　地平線#d1d8ed　雲1
https://www.youtube.com/watch?v=VmDlcTA0Xb4   「原田知世,天国にいちばん近い島 (1984)」　#5987dc　地平線#76dee1　雲1
https://www.youtube.com/watch?v=dIZR_giAF98   「薬師丸ひろ子,Woman"Wの悲劇"より (1984)」　#9241b9　地平線#341250　星
https://www.youtube.com/watch?v=p-Ob_3NEBaM   「薬師丸ひろ子,メインテーマ (1984)」　#97bfe8　地平線#aeddee
https://www.youtube.com/watch?v=MH2Yqs5JqJQ   「杉山清貴&オメガトライブ,SUMMER SUSPICION (1984)」　#4fd7da　地平線#a7d5e8　雲1
https://www.youtube.com/watch?v=AQCinctvWes   「チェッカーズ,ジュリアの傷心 (1984)」　#7d96c6　地平線#b3c1df　雲1
https://www.youtube.com/watch?v=PhAjY67NR9k   「テレサ・テン,つぐない (1984)」　#b9752e　地平線#d4a866　雲1
https://www.youtube.com/watch?v=XF1Sf8R3qTc   「アンルイス,六本木心中 (1984)」　#4bb7ce　地平線#d170b1
https://www.youtube.com/watch?v=f3533dSIR8s   「ダ・カーポ,空からこぼれたStory (1984)」　#7ad7ce　地平線#47a196　雲2
https://www.youtube.com/watch?v=glvOJJqdTMU   「中森明菜,北ウイング (1984)」　#79c477　地平線#a0c768　雲1
https://www.youtube.com/watch?v=Z5rUfRIEA6g   「中森明菜,サザン・ウインド (1984)」　#7ca6df　地平線#a9c9ea　雲1
https://www.youtube.com/watch?v=T_lC2O1oIew   「竹内まりや,Plastic Love (1984)」　#c98bbd　地平線#e4c0d2　雲1
https://www.youtube.com/watch?v=5mUadWssSr0   「松原みき, ガンモ・ドキッ! (1984)」　#edabed　地平線#edabed　単色
https://www.youtube.com/watch?v=G-2521vjBl4   「安全地帯,じれったい (1984)」　#d7b557　地平線#d7b557　単色
https://www.youtube.com/watch?v=rRWMyMXpQ3o   「大沢誉志幸,そして、僕は途方に暮れる (1984)」　#d0a337　地平線#9d7a38
https://www.youtube.com/watch?v=uujn5RS6Xfk   「杉山清貴&オメガトライブ,ふたりの夏物語 NEVER ENDING SUMMER(1985)」　#3a5ed0　地平線#d1cfcf　星
https://www.youtube.com/watch?v=0AlITEvgs1Y   「REBECCA,フレンズ (1985)」　#13152a　地平線#284f5a　星
https://www.youtube.com/watch?v=2nywqC0LYtw   「薬師丸ひろ子,ステキな恋の忘れ方 (1985)」　#7a96c5　地平線#b3c3e3　雲1
https://www.youtube.com/watch?v=dIZR_giAF98   「薬師丸ひろ子,Woman"Wの悲劇"より (1985)」　#c57144　地平線#d7b68d　雲1
https://www.youtube.com/watch?v=jUExRUa37Gg   「薬師丸ひろ子,天に星、地に花 (1985)」　#080c19　地平線#423067　星
https://www.youtube.com/watch?v=6XhNRzcPOZQ   「浜田省吾,もうひとつの土曜日 (1985)」　#48a498　地平線#e8cfdc　雲1
https://www.youtube.com/watch?v=5_L4GTzaNEU   「中村あゆみ,翼の折れたエンジェル (1985)」　#ac6cce　地平線#d7abe1　雲1
https://www.youtube.com/watch?v=IZ0Ojj7acgg   「C-C-B,ロマンティックか止まらない (1985)」　#6aad5e　地平線#adcc81　雲1
https://www.youtube.com/watch?v=JqRPs9hBap8   「郷ひろみ,2億4千万の瞳 -ｴｷｿﾞﾁｯｸ・ｼﾞｬﾊﾟﾝ- (1985)」　#c12fd0　地平線#d7aadd　星
https://www.youtube.com/watch?v=GWiovtCkI60   「吉幾三,俺ら東京さ行ぐだ (1985)」　#3150c6　地平線#8698b8　星
https://www.youtube.com/watch?v=pbU0gfyYnRA   「Vince DiCola,♪Training Montage～Rocky IV～(1985)」　#657e90　地平線#939eb0　開始13秒
https://www.youtube.com/watch?v=wwviSbvkixE   「金指英樹,♪マッハライダー (1985)」　#ab80db　地平線#c5afe8　雲1
https://www.youtube.com/watch?v=zO9jyCiZKyk   「小林旭,熱き心に (1985)」　#be6f47　地平線#d79963
https://www.youtube.com/watch?v=yYl3_9jNZlc   「武田鉄矢,少年期 (1985)」　#cd9c83　地平線#88766d　雲2
https://www.youtube.com/watch?v=1-Oz1ezLpGA   「原田知世,早春物語 (1985)」　#cb87bc　地平線#e3c3d3　雲1
https://www.youtube.com/watch?v=_-TMxqEZE5s   「秋元薫,Dress Down (1986)」　#75b169　地平線#a6c77a　雲1
https://www.youtube.com/watch?v=Wwj6XE0eZmA   「渡辺典子,火の鳥 (1986)」　#446383　地平線#778eb3　星
https://www.youtube.com/watch?v=JzuRmX-_jjQ   「原田知世,どうしてますか (1986)」　#4bbbd1　地平線#ce71b2
https://www.youtube.com/watch?v=YG63daY07M4   「原田知世,雨のプラネタリウム (1986)」　#5e8599　地平線#a7a196
https://www.youtube.com/watch?v=HIKICYrP4Sc   「薬師丸ひろ子,紳士同盟 (1986)」　#bc6c41　地平線#d59b6b
https://www.youtube.com/watch?v=Bl6asXoLUYE   「北島三郎,北の漁場 (1986)」　#2fa8d3　地平線#768cb8
https://www.youtube.com/watch?v=tDSJxAwKbaI   「坂本龍一,G.T. (1986)」　#859bd5　地平線#d9def0　雲1
https://www.youtube.com/watch?v=_ZaDQL6fobA   「坂本龍一,Ballet Mécanique (1986)」　#9dc672　地平線#352757　星　雲1
https://www.youtube.com/watch?v=ppoJSwrrneg   「TomCat,Tough Boy (1986)」　#48b4cf　地平線#d073b5
https://www.youtube.com/watch?v=0fYjTjXupGg   「堀内孝雄,愛しき日々 (1986)」　#b374d3　地平線#d3a5dc　雲1
https://www.youtube.com/watch?v=TSkNEeJsJbQ   「ムーンライダーズ,9月の海はクラゲの海(1986)」　#181a34　地平線#244652　星
https://www.youtube.com/watch?v=hOrmu8X2A1g   「德永英明,レイニーブルー (1986)」　#cfa848　地平線#937236
https://www.youtube.com/watch?v=Hbz042hIn9E   「中山美穂,WAKU WAKUさせて (1986)」　#ad81dc　地平線#c4aee7　雲1
https://www.youtube.com/watch?v=KHmXH3lHCR0   「小泉今日子,夜明けのMEW (1986)」　#0d0d12　地平線#302d2d　星
https://www.youtube.com/watch?v=LBJC4nT-1NM   「安全地帯,プルシアンブルーの肖像 (1986)」　#c98cbe　地平線#e4c0d1　雲1
https://www.youtube.com/watch?v=SrUp0YU11BE   「加藤登紀子,時には昔の話を (1987)」　#a67ad4　地平線#c9b6eb　雲1
https://www.youtube.com/watch?v=CYweetJWgoA   「カルロス・トシキ&オメガトライブ,君は1000% (1987)」　#5d607d　地平線#89859d　星
https://www.youtube.com/watch?v=qNj-POo12_E   「森川由加里,SHOW ME (1987)」　#c5782e　地平線#d5a75b
https://www.youtube.com/watch?v=x-_yZKI7EhE   「プリンセス プリンセス,世界でいちばん熱い夏 (1987)」　#d8b876　地平線#aed3df　雲2
https://www.youtube.com/watch?v=xB0ASKeCB6s   「小泉今日子,水のルージュ (1987)」　#82c1e2　地平線#83625c
